"","","","","","","","","","","","","","",""
"0","N798BC","","Boeing","717-200","","55169","","","","","","","Bcc Equipment Leasing Corp",""
"000000","","","","unknow","","","","","","","","","","No ADS-B Emitter Category Information"
"000001","SP-FGR","SHIJIAZHUANG","","Antonov 2","AN2","","","L1P","","","","","Private",""
"000002","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000003","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000004","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000005","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000006","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000007","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000008","","","","","","","","","","","","","","Surface Vehicle – Service Vehicle"
"000009","TC-","AERO (3)","Aero","AT-3 R100","AAT3","AT3-069","","L1P","","","","","Private",""
"00000a","","","","","","","","","","","","","","Small (15500 to 75000 lbs)"
"000010","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000011","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000012","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000021","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000023","","","","","","","","","","","","","","Ultralight / hang-glider / paraglider"
"000024","","","","","","","","","","","","","","Ultralight / hang-glider / paraglider"
"00002e","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000030","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000036","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000037","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000038","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000039","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"00003c","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"00003d","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000041","","","","","","","","","","","","","","Ultralight / hang-glider / paraglider"
"000053","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000060","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000074","","","","","","","","","","","","","","Ultralight / hang-glider / paraglider"
"000080","","","","","","","","","","","","","","Rotorcraft"
"000084","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000086","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000087","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000088","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000099","","","","","","","","","","","","","","Unmanned Aerial Vehicle"
"0000a2","","","","","","","","","","","","","","Rotorcraft"
"0000b9","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"0000c2","","","","","","","","","","","","","",""
"0000c4","N474EA","BOEING","Boeing","737-448 /SF","B734","24474","1742","L2J","","","","","",""
"0000c5","","","","","","","","","","","","","",""
"0000dd","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"000100","K2663","ILYUSHIN","Ilyushin","Il-76MD","IL76","0053458731","4403","L4J","","","","","","Light (< 15500 lbs)"
"00010e","","","","","","","","","","","","","","Rotorcraft"
"000111","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000123","","","","","","","","","","","","","","Light (< 15500 lbs)"
"00013b","","","","","","","","","","","","","","Rotorcraft"
"00015f","-UNKNOWN-","TAI","General Dynamics","F-16","F16","","","L1J","Baf","BELGIAN AIRFORCE","BAF","","",""
"000160","","","","","","","","","","","","","","Ultralight / hang-glider / paraglider"
"000200","91-0302","MITSUBISHI","Mcdonnell Douglas","F-15E-51-MC Strike Eagle","F15","1209/E167","","L2J","","","","","","No ADS-B Emitter Category Information"
"000237","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000239","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000240","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000241","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000242","","","","","","","","","","","","","","Light (< 15500 lbs)"
"00030b","","","","","","","","","","","","","","Small (15500 to 75000 lbs)"
"000325","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000330","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000334","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000342","","","","","","","","","","","","","","Ultralight / hang-glider / paraglider"
"000351","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000353","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000400","","","","","","","","","","","","","","Rotorcraft"
"000408","","","","","","","","","","","","","",""
"000415","","","","","","","","","","","","","","Rotorcraft"
"000431","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000448","","","","","","","","","","","","","",""
